thread_root_id,root_time,thread_len,matched_post_count,join_coverage,matched_post_ids,matched_user_ids
71460717,202312180116,7,1,0.1429,198272,4890
13562607,202312171801,6,1,0.1667,198272,4890
40992002,202312170039,3,1,0.3333,198272,4890
4020785,202312131952,5,1,0.2,198272,4890
20825627,202312170021,4,1,0.25,198272,4890
100598396,202312160826,2,1,0.5,198272,4890
74089217,202312151610,2,1,0.5,198272,4890
27572623,202312150341,3,1,0.3333,198272,4890
29818945,202311260109,4,1,0.25,198272,4890
105060208,202312132022,2,1,0.5,198272,4890
105060218,202312112329,5,2,0.4,"198272,125910","379,4890"
105060221,202312111649,4,1,0.25,198272,4890
105060241,202312090408,3,1,0.3333,198272,4890
105060249,202312082238,4,1,0.25,198272,4890
105060254,202312080107,5,1,0.2,198272,4890
96537251,202312061700,6,1,0.1667,198272,4890
105060273,202312060254,4,1,0.25,198272,4890
29207857,202312060123,4,1,0.25,198272,4890
105060287,202312041942,2,1,0.5,198272,4890
4693071,202312041634,5,1,0.2,198272,4890
98203056,202312020632,2,1,0.5,198272,4890
56862195,202312020736,2,1,0.5,198272,4890
64128384,202312020155,2,1,0.5,198272,4890
80262500,202312011518,4,1,0.25,198272,4890
34884391,202311301622,2,1,0.5,198272,4890
2791149,202311290226,5,1,0.2,198272,4890
63854730,202311282207,4,1,0.25,198272,4890
105060338,202311272200,2,1,0.5,198272,4890
19960040,202311271139,2,1,0.5,198272,4890
74889961,202311262102,2,1,0.5,198272,4890
105060353,202311251652,4,1,0.25,198272,4890
105060363,202311250246,3,1,0.3333,198272,4890
2608692,202311241822,5,1,0.2,198272,4890
105060371,202311240718,2,1,0.5,198272,4890
105060375,202311232246,3,1,0.3333,198272,4890
14724540,202311230815,4,1,0.25,198272,4890
105060387,202311221347,2,1,0.5,198272,4890
36165982,202311211934,3,1,0.3333,198272,4890
19978988,202311190419,3,1,0.3333,198272,4890
105060429,202311161701,2,1,0.5,198272,4890
20825825,202311161427,4,1,0.25,198272,4890
5509987,202311132221,2,2,1.0,"198272,125910","379,4890"
19979115,202311151622,2,2,1.0,"198272,125910","379,4890"
105060455,202311142028,5,1,0.2,198272,4890
105060460,202311150009,2,1,0.5,198272,4890
1805789,202311140412,5,1,0.2,198272,4890
105060472,202311140038,2,1,0.5,198272,4890
61505752,202311110431,19,1,0.0526,198272,4890
105060486,202311110811,2,1,0.5,198272,4890
93013277,202311101649,2,1,0.5,198272,4890
105060492,202311100112,2,1,0.5,198272,4890
105060494,202311100056,2,1,0.5,198272,4890
48360585,202311090732,2,1,0.5,198272,4890
21526306,202311071352,2,1,0.5,198272,4890
105060509,202311080240,3,1,0.3333,198272,4890
105060511,202311072258,3,1,0.3333,198272,4890
37708000,202311072050,3,1,0.3333,198272,4890
105060522,202311071447,3,1,0.3333,198272,4890
56862252,202311071309,3,1,0.3333,198272,4890
96537306,202311070224,2,1,0.5,198272,4890
105060558,202311050515,4,1,0.25,198272,4890
35055961,202311050528,2,1,0.5,198272,4890
91216686,202311040217,2,1,0.5,198272,4890
91216688,202311020005,3,1,0.3333,198272,4890
105060581,202311031951,3,1,0.3333,198272,4890
105060587,202311011934,2,1,0.5,198272,4890
26735039,202311012023,6,1,0.1667,198272,4890
105060617,202311011856,3,1,0.3333,198272,4890
105060625,202311010612,3,1,0.3333,198272,4890
56862277,202311010443,3,1,0.3333,198272,4890
105060633,202311010210,3,1,0.3333,198272,4890
71460754,202310272120,2,1,0.5,198272,4890
67064748,202311010116,5,1,0.2,198272,4890
71460753,202311010014,2,1,0.5,198272,4890
105060652,202310310359,2,1,0.5,198272,4890
105060663,202310300212,4,1,0.25,198272,4890
19125057,202310282211,5,1,0.2,198272,4890
103116864,202310292207,3,1,0.3333,198272,4890
105060678,202310270724,3,1,0.3333,198272,4890
7070329,202310271723,2,1,0.5,198272,4890
10583753,202310271611,5,1,0.2,198272,4890
105060701,202310222333,4,1,0.25,198272,4890
105060712,202310261230,7,1,0.1429,198272,4890
105060724,202310251823,3,1,0.3333,198272,4890
105060729,202310252053,3,1,0.3333,198272,4890
4693350,202310221119,3,1,0.3333,198272,4890
48704138,202310221750,4,2,0.5,"198272,125910","379,4890"
5436756,202310211415,6,1,0.1667,198272,4890
11041576,202310211835,2,1,0.5,198272,4890
105060774,202307252054,4,1,0.25,198272,4890
105060781,202310161741,2,1,0.5,198272,4890
105060794,202310140404,2,1,0.5,198272,4890
105060802,202310132147,2,2,1.0,"198280,198272",4890
6656689,202310132159,2,2,1.0,"198280,198272",4890
105060808,202310121409,3,1,0.3333,198272,4890
105060822,202310091446,3,1,0.3333,198272,4890
91216702,202310091719,2,1,0.5,198272,4890
105060830,202310091444,2,1,0.5,198272,4890
105060833,202310091528,2,1,0.5,198272,4890
61579975,202310090538,2,1,0.5,198272,4890
105060845,202310071647,2,1,0.5,198272,4890
105060848,202310071406,2,1,0.5,198272,4890
19980460,202307041604,5,1,0.2,198272,4890
105060867,202310051730,3,1,0.3333,198272,4890
4785003,202309301257,2,1,0.5,198272,4890
105060875,202310042122,3,1,0.3333,198272,4890
5444381,202310041306,2,1,0.5,198272,4890
105060905,202309281858,2,1,0.5,198272,4890
105060916,202309301609,2,1,0.5,198272,4890
105060928,202309280013,2,1,0.5,198272,4890
105060936,202309290506,3,1,0.3333,198272,4890
45247141,202309160535,4,1,0.25,198272,4890
63755743,202309281430,2,1,0.5,198272,4890
13443828,202309160018,3,1,0.3333,198272,4890
92517904,202309252209,3,2,0.6667,"198280,198272",4890
20268490,202309231455,5,1,0.2,198272,4890
102218747,202309211634,4,1,0.25,198272,4890
105060985,202309221516,10,1,0.1,198272,4890
91216711,202309211813,2,1,0.5,198272,4890
64128413,202309190249,2,1,0.5,198272,4890
76412421,202309190156,5,1,0.2,198272,4890
55786758,202309181403,4,1,0.25,198272,4890
42946268,202309180303,5,1,0.2,198272,4890
105061028,202309161709,2,1,0.5,198272,4890
50651125,202309142053,3,1,0.3333,198272,4890
105061041,202309142053,3,1,0.3333,198272,4890
105061043,202309141644,5,1,0.2,198272,4890
84453354,202309130431,4,1,0.25,198272,4890
105061053,202309130344,2,1,0.5,198272,4890
35058595,202309111939,2,1,0.5,198272,4890
56862428,202309111655,4,1,0.25,198272,4890
105061075,202309110602,2,1,0.5,198272,4890
35058632,202309102209,4,1,0.25,198272,4890
6610668,202309100146,6,1,0.1667,198272,4890
105061096,202309091444,6,1,0.1667,198272,4890
10583063,202309090449,3,1,0.3333,198272,4890
105061100,202309061453,3,1,0.3333,198272,4890
96537416,202309080126,2,1,0.5,198272,4890
105061126,202309052249,3,1,0.3333,198272,4890
4693504,202309011718,3,1,0.3333,198272,4890
96537422,202309051456,2,1,0.5,198272,4890
105061135,202309042331,2,1,0.5,198272,4890
105061145,202309041545,2,1,0.5,198272,4890
71460788,202309011745,4,1,0.25,198272,4890
12070412,202309021552,4,1,0.25,198272,4890
7584617,202309022150,4,1,0.25,198272,4890
25564359,202308292040,2,1,0.5,198272,4890
56930246,202308312116,2,1,0.5,198272,4890
25546346,202308311139,3,1,0.3333,198272,4890
57910691,202308282135,3,1,0.3333,198272,4890
105061190,202308292056,6,1,0.1667,198272,4890
19982346,202308291801,3,1,0.3333,198272,4890
105061209,202308272322,4,1,0.25,198272,4890
105061218,202308220125,3,1,0.3333,198272,4890
105061223,202308261253,4,1,0.25,198272,4890
105061231,202308251856,4,1,0.25,198272,4890
19982510,202308260153,2,1,0.5,198272,4890
105061241,202308230747,6,1,0.1667,198272,4890
105061254,202308240128,2,1,0.5,198272,4890
96537459,202308221315,2,1,0.5,198272,4890
105061271,202308191739,3,1,0.3333,198272,4890
105061273,202308201012,3,1,0.3333,198272,4890
105061278,202308211909,3,1,0.3333,198272,4890
10583156,202308211306,3,1,0.3333,198272,4890
13774793,202308202058,4,1,0.25,198272,4890
105061299,202308191416,2,1,0.5,198272,4890
105061306,202308190945,3,1,0.3333,198272,4890
105061321,202308181434,5,1,0.2,198272,4890
105061325,202308181836,2,1,0.5,198272,4890
2614063,202308181553,4,1,0.25,198272,4890
4114820,202308181506,4,1,0.25,198272,4890
103454150,202308181444,2,1,0.5,198272,4890
57308298,202308180414,2,1,0.5,198272,4890
105061352,202308180308,2,1,0.5,198272,4890
10460687,202308171731,4,1,0.25,198272,4890
105059598,202308162118,2,1,0.5,198272,4890
105061378,202308171603,3,1,0.3333,198272,4890
19983027,202308170423,2,1,0.5,198272,4890
19983030,202308170300,2,1,0.5,198272,4890
105061391,202308162238,2,1,0.5,198272,4890
105061399,202308161830,2,1,0.5,198272,4890
105061411,202308160810,2,1,0.5,198272,4890
105061414,202308160624,2,1,0.5,198272,4890
105061419,202308160127,2,1,0.5,198272,4890
105061424,202308150351,3,1,0.3333,198272,4890
105061440,202308121616,4,1,0.25,198272,4890
105061443,202308131526,2,1,0.5,198272,4890
105061461,202308112139,4,1,0.25,198272,4890
5542577,202308112057,3,1,0.3333,198272,4890
42946631,202308120045,4,1,0.25,198272,4890
105061478,202308112137,2,1,0.5,198272,4890
22870416,202308081643,2,1,0.5,198272,4890
42946643,202308111630,2,1,0.5,198272,4890
20705227,202308111517,2,1,0.5,198272,4890
91434136,202308110444,2,1,0.5,198272,4890
105061506,202308101822,2,2,1.0,"198272,125910","379,4890"
105061509,202308101727,3,1,0.3333,198272,4890
105061511,202308100226,3,1,0.3333,198272,4890
105061518,202308070658,5,1,0.2,198272,4890
105061520,202307310608,2,1,0.5,198272,4890
105061523,202308100345,2,1,0.5,198272,4890
57308403,202308100424,3,1,0.3333,198272,4890
66251749,202308082240,2,1,0.5,198272,4890
105061530,202308091934,3,1,0.3333,198272,4890
105061532,202308091011,2,1,0.5,198272,4890
30735100,202308091612,2,1,0.5,198272,4890
20705238,202308091510,3,1,0.3333,198272,4890
67253798,202308081533,3,1,0.3333,198272,4890
105061543,202308091532,2,1,0.5,198272,4890
86179718,202308091325,3,1,0.3333,198272,4890
42946685,202308090200,2,1,0.5,198272,4890
105061551,202308082242,3,1,0.3333,198272,4890
105061557,202308082104,2,1,0.5,198272,4890
58987795,202308081747,3,2,0.6667,"198272,125910","379,4890"
105061568,202308052018,3,1,0.3333,198272,4890
105061575,202308072213,2,1,0.5,198272,4890
11111598,202308071827,3,1,0.3333,198272,4890
105061582,202308071747,4,1,0.25,198272,4890
105062606,202403121900,2,1,0.5,153431,379
382029,202402142126,5,1,0.2,699779,319
105076716,202311260403,8,1,0.125,275802,626
96347036,202311170628,4,1,0.25,275802,626
105077527,202311160425,2,1,0.5,275802,626
105077591,202311131951,3,1,0.3333,275802,626
105077597,202311150026,3,1,0.3333,275802,626
105079960,202310050359,3,1,0.3333,275802,626
105113625,202309010500,3,1,0.3333,1044673,379
105141580,202307040126,2,1,0.5,135976,319
105144120,202402072009,2,1,0.5,1369236,319
105144131,202310181543,2,1,0.5,1369236,319
105144133,202310231525,2,1,0.5,1369236,319
105169117,202311200021,3,1,0.3333,159588,626
85978953,202310050611,3,1,0.3333,159445,319
105178044,202402241607,3,1,0.3333,334534,379
105178059,202402191235,2,1,0.5,334534,379
3780848,202402041217,2,1,0.5,334534,379
105178102,202401201527,2,1,0.5,334534,379
105178109,202401181205,2,1,0.5,334534,379
105178117,202401141507,2,1,0.5,334534,379
105178122,202401132213,2,1,0.5,334534,379
105178149,202312261855,3,1,0.3333,334534,379
105178159,202312240810,2,1,0.5,334534,379
105185599,202310070021,3,1,0.3333,198274,4890
25034136,202309201707,2,1,0.5,198274,4890
105189878,202311230605,2,1,0.5,138252,114
21781440,202403011706,3,1,0.3333,698249,379
7443652,202401272120,2,1,0.5,25736,319
103498331,202309050407,3,1,0.3333,160418,114
105217632,202307021517,2,1,0.5,243771,626
105238534,202310240545,2,1,0.5,566339,8643
68626576,202403131450,2,1,0.5,156764,379
68626673,202402240116,2,1,0.5,156764,379
68626798,202401221343,2,1,0.5,156764,379
68627301,202309040045,2,1,0.5,156764,379
105312864,202402031506,2,1,0.5,118744,379
105313354,202310091505,4,1,0.25,118744,379
11601413,202308291837,2,1,0.5,1235607,83528
54705334,202308241423,2,1,0.5,1235607,83528
105340424,202308031824,3,1,0.3333,1235607,83528
50690417,202307271620,2,1,0.5,1235607,83528
60676600,202307262112,2,1,0.5,1235607,83528
105340461,202307260818,2,1,0.5,1235607,83528
105340467,202307261820,2,1,0.5,1235607,83528
11601640,202307261809,3,1,0.3333,1235607,83528
105341843,202403120756,2,1,0.5,129156,319
105342159,202402250908,3,1,0.3333,129156,319
105342271,202402212323,2,1,0.5,129156,319
105342306,202402190514,2,1,0.5,129156,319
31699271,202308240042,6,1,0.1667,138252,114
105369153,202401050643,4,1,0.25,65902,319
31884824,202403062023,4,1,0.25,698249,379
105395060,202311111351,2,1,0.5,436412,273835
105395072,202309231503,2,1,0.5,436412,273835
58478060,202309221224,3,1,0.3333,436412,273835
105395090,202309131734,2,1,0.5,436412,273835
105449810,202403050801,4,1,0.25,175913,114
105475663,202308030229,2,1,0.5,2540986,379
105475705,202310151440,4,1,0.25,160010,379
24308036,202310081354,4,1,0.25,153431,379
90602612,202401171101,2,1,0.5,164433,8923
105482654,202401221132,2,1,0.5,570633,319
60293923,202310231225,3,1,0.3333,132820,319
105487815,202309281045,4,1,0.25,132820,319
105487865,202309091111,2,1,0.5,132820,319
105528050,202309301629,3,2,0.6667,"175802,175839",114
73006967,202309091638,2,1,0.5,175840,114
105537178,202307151357,2,1,0.5,158860,379
105560900,202309150552,5,1,0.2,331799,4890
105593412,202311281722,2,1,0.5,151736,379
32843810,202402070756,3,1,0.3333,136587,379
90754378,202311151426,5,1,0.2,146763,16202
34378043,202402220657,2,1,0.5,25871,319
104791700,202401090233,8,1,0.125,25871,319
64525482,202401020156,2,1,0.5,25871,319
104791895,202312310400,4,1,0.25,25871,319
104793205,202311280047,3,1,0.3333,25871,319
104793416,202311210357,2,1,0.5,25871,319
105618487,202310112039,6,1,0.1667,25791,319
105619126,202309232037,9,1,0.1111,144240,379
105620800,202312081442,3,1,0.3333,175912,114
105651442,202310251442,10,1,0.1,946570,21598
104790398,202402220121,2,1,0.5,25871,319
100012499,202312290022,2,1,0.5,25871,319
105715545,202304212016,2,1,0.5,491152,12030
105752781,202311291755,2,1,0.5,145187,379
105752840,202311102057,2,1,0.5,145187,379
105754002,202403082048,2,1,0.5,153431,379
47911899,202311020246,2,1,0.5,984359,1639
31350978,202311131826,5,1,0.2,159588,626
37713652,202309191234,4,1,0.25,562512,379
370367,202310161805,3,1,0.3333,126465,16202
105880242,202308202126,3,1,0.3333,161509,17627
105880244,202308151051,3,1,0.3333,161509,17627
105881758,202403061848,2,1,0.5,118744,379
105881771,202402260647,2,1,0.5,118744,379
105881819,202402101715,2,1,0.5,118744,379
105881803,202402080635,3,1,0.3333,118744,379
105881842,202402010650,2,1,0.5,118744,379
101832877,202401310629,4,1,0.25,118744,379
105881849,202401291747,2,1,0.5,118744,379
105881851,202401291525,2,1,0.5,118744,379
105881854,202401280527,2,1,0.5,118744,379
105881869,202401171625,2,1,0.5,118744,379
105881891,202312290722,2,1,0.5,118744,379
105881916,202312241748,4,1,0.25,118744,379
105881936,202312221758,3,1,0.3333,118744,379
105881941,202312221112,2,1,0.5,118744,379
105313058,202312051811,2,1,0.5,118744,379
105881999,202312040727,3,1,0.3333,118744,379
105882060,202311061718,2,1,0.5,118744,379
95341798,202310310844,2,1,0.5,118744,379
105882073,202310291914,2,1,0.5,118744,379
105882076,202310291843,2,1,0.5,118744,379
105882084,202310261652,3,1,0.3333,118744,379
95341822,202310250725,3,1,0.3333,118744,379
105882094,202310240715,2,1,0.5,118744,379
105882099,202310171016,2,1,0.5,118744,379
105882119,202310120821,2,1,0.5,118744,379
105882129,202310100748,3,1,0.3333,118744,379
105882167,202309200812,2,1,0.5,118744,379
78362782,202309140914,3,1,0.3333,118744,379
105882182,202309090602,3,1,0.3333,118744,379
105882189,202308261029,2,1,0.5,118744,379
39606187,202403110041,9,1,0.1111,702083,379
105959899,202402190450,2,1,0.5,126228,319
105960618,202401091406,2,1,0.5,126228,319
105960719,202401090320,2,1,0.5,126228,319
105960760,202401080909,2,1,0.5,126228,319
106008089,202310212205,4,1,0.25,275802,626
106009364,202309052023,2,1,0.5,17829,9487
10058685,202403150229,2,1,0.5,2077924,67361
106049492,202309182027,6,1,0.1667,132820,319
106070720,202401111613,2,1,0.5,425446,379
106070731,202311251637,2,1,0.5,425446,379
106070735,202311200955,2,1,0.5,425446,379
106070738,202311131054,2,1,0.5,425446,379
106070747,202311091119,2,1,0.5,425446,379
106073509,202311100412,2,1,0.5,25791,319
106073543,202310251452,2,1,0.5,25791,319
106073586,202310100455,3,1,0.3333,25791,319
106073602,202310080316,3,1,0.3333,25791,319
106073628,202309291538,2,1,0.5,25791,319
106073690,202308300426,3,1,0.3333,25791,319
106074760,202402071442,2,1,0.5,1935304,626
103498185,202309230246,4,1,0.25,160418,114
106112422,202310300100,7,1,0.1429,853070,379
106116561,202402271811,3,1,0.3333,25868,319
106117449,202309071423,3,1,0.3333,25868,319
106153028,202307091056,2,1,0.5,175873,114
106216369,202402130410,2,1,0.5,122323,9
106216371,202402130403,2,1,0.5,122323,9
81781244,202402130340,2,1,0.5,122323,9
106216381,202402130244,2,1,0.5,122323,9
106216386,202402130232,2,1,0.5,122323,9
106216391,202402130159,2,1,0.5,122323,9
106216394,202402130123,2,1,0.5,122323,9
106216406,202402120427,2,1,0.5,122323,9
81781345,202402120335,2,1,0.5,122323,9
106216417,202402120210,2,1,0.5,122323,9
106216423,202401110342,4,1,0.25,122323,9
106216431,202312281710,3,1,0.3333,122323,9
106216434,202312291327,2,1,0.5,122323,9
106216437,202312281255,2,1,0.5,122323,9
106216441,202312270228,2,1,0.5,122323,9
106216443,202312271642,2,1,0.5,122323,9
106216472,202310021636,2,1,0.5,122323,9
82912806,202309181844,2,1,0.5,122323,9
106216483,202309150137,3,1,0.3333,122323,9
106216533,202307282101,2,1,0.5,122323,9
106216546,202307232221,2,1,0.5,122323,9
106216552,202307191716,2,1,0.5,122323,9
106216559,202307141617,2,1,0.5,122323,9
106216574,202307021434,2,1,0.5,122323,9
106216580,202307012204,3,1,0.3333,122323,9
106216588,202306281304,2,1,0.5,122323,9
106216611,202306031154,2,1,0.5,122323,9
102192499,202310021111,5,1,0.2,943263,319
591625,202309191132,2,1,0.5,148619,319
106243854,202402231239,3,1,0.3333,175917,114
53838213,202308180227,2,1,0.5,56842,9
106259921,202402221853,2,1,0.5,1685273,8212
106308801,202401161946,3,1,0.3333,151736,379
106308807,202312302033,3,1,0.3333,151736,379
106308878,202311211014,2,1,0.5,151736,379
106308885,202311201050,2,1,0.5,151736,379
106308907,202311161545,4,1,0.25,151736,379
106308928,202311131626,3,1,0.3333,151736,379
106308993,202311061800,2,1,0.5,151736,379
106309035,202310181104,2,1,0.5,151736,379
106309050,202310141029,2,1,0.5,151736,379
106309055,202310111128,2,1,0.5,151736,379
106309096,202310041528,3,1,0.3333,151736,379
23978099,202311031438,4,1,0.25,853070,379
9049099,202310022227,2,1,0.5,175960,114
42190960,202312182138,3,1,0.3333,126138,379
5232919,202311081016,4,1,0.25,604028,319
106372808,202309241915,15,1,0.0667,144240,379
106382310,202401120751,3,1,0.3333,304272,379
106383548,202310230503,3,1,0.3333,304272,379
37816361,202402111239,4,1,0.25,17829,9487
106392853,202401201924,2,1,0.5,17829,9487
19742129,202401181939,4,1,0.25,17829,9487
106393114,202401161029,4,1,0.25,17829,9487
106393840,202312311932,2,1,0.5,17829,9487
106393848,202312311655,4,1,0.25,17829,9487
106395891,202311180831,3,1,0.3333,17829,9487
106396578,202311032010,3,1,0.3333,17829,9487
106397150,202310250739,5,1,0.2,17829,9487
106397977,202310141725,2,1,0.5,17829,9487
106398007,202310141559,2,1,0.5,17829,9487
106399771,202309070332,3,1,0.3333,17829,9487
106400074,202308280541,4,1,0.25,17829,9487
106400086,202308271902,5,1,0.2,17829,9487
82128833,202309242018,4,1,0.25,102256,379
46595996,202402070513,6,1,0.1667,175917,114
106475278,202401280020,5,1,0.2,853070,379
13000189,202310131706,3,1,0.3333,25461,319
13181899,202310201654,4,1,0.25,25461,319
6744756,202310070214,3,1,0.3333,25461,319
106493502,202307051906,3,1,0.3333,25461,319
13573467,202307041332,2,1,0.5,25461,319
106500394,202401230812,3,1,0.3333,175912,114
106502175,202310080648,3,1,0.3333,151736,379
